Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.1-192.168.0.104-1900-57829-6,192.168.0.104,57829,192.168.0.1,1900,6,26/03/2025 12:05:54 AM,10131,3,7,200,4437,200,0,66.66666667,115.4700538,1460,0,633.8571429,718.1509657,457704.0766,987.069391,1125.666667,1642.757895,3986,1,5699,2849.5,3317.037911,5195,504,10131,1688.5,1902.94033,3986,1,0,0,0,0,60,164,296.1208173,690.9485737,0,1460,421.5454545,631.8356374,399216.2727,0,1,0,0,0,0,0,0,2,463.7,66.66666667,633.8571429,0,0,0,0,0,0,3,200,7,4437,-1,1959,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57829-6,192.168.0.104,57829,192.168.0.1,1900,6,26/03/2025 12:05:55 AM,1958,1,1,0,0,0,0,0,0,0,0,0,0,0,1021.45046,1958,0,1958,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,510.7252298,510.7252298,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,255,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57830-6,192.168.0.104,57830,192.168.0.1,1900,6,26/03/2025 12:05:55 AM,4489,3,4,283,240,283,0,94.33333333,163.3901262,240,0,60,120,116507.0172,1559.367342,748.1666667,605.8440118,1324,115,3088,1544,1756.453244,2786,302,4312,1437.333333,229.9942028,1702,1286,0,0,0,0,60,104,668.3002896,891.0670528,0,283,65.375,121.5952742,14785.41071,0,1,0,0,0,0,0,0,1,74.71428571,94.33333333,60,0,0,0,0,0,0,3,283,4,240,-1,1959,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57831-6,192.168.0.104,57831,192.168.0.1,1900,6,26/03/2025 12:05:55 AM,16821,3,6,636,554,327,0,212,183.8178446,335,0,92.33333333,147.6708051,70744.90221,535.0454789,2102.625,2608.525689,5704,1,289,144.5,91.21677477,209,80,16821,3364.2,2795.642359,6120,1,0,0,0,0,60,144,178.348493,356.6969859,0,335,119,156.6971602,24554,0,1,0,0,0,0,0,0,2,132.2222222,212,92.33333333,0,0,0,0,0,0,3,636,6,554,-1,2093,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57831-6,192.168.0.104,57831,192.168.0.1,1900,6,26/03/2025 12:05:55 AM,48,1,1,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20833.33333,20833.33333,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57832-6,192.168.0.104,57832,192.168.0.1,1900,6,26/03/2025 12:05:55 AM,24612,3,6,644,571,331,0,214.6666667,186.1245103,352,0,95.16666667,153.3132958,49366.16285,365.6752804,3076.5,3906.853173,10219,1,411,205.5,81.31727984,263,148,24612,4922.4,4308.404206,10835,1,0,0,0,0,60,144,121.8917601,243.7835202,0,352,121.5,160.4758549,25752.5,0,1,0,0,0,0,0,0,2,135,214.6666667,95.16666667,0,0,0,0,0,0,3,644,6,571,-1,2093,2,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57832-6,192.168.0.104,57832,192.168.0.1,1900,6,26/03/2025 12:05:55 AM,41,1,1,0,0,0,0,0,0,0,0,0,0,0,48780.4878,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24390.2439,24390.2439,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.104-34.206.99.249-57795-443-6,192.168.0.104,57795,34.206.99.249,443,6,26/03/2025 12:05:40 AM,14996907,0,5,0,78,0,0,0,0,46,0,15.6,21.57081361,5.201072461,0.333402081,3749226.75,7337266.397,1.48E+07,0,0,0,0,0,0,1.50E+07,3749226.75,7337266.397,1.48E+07,0,0,0,0,0,0,112,0,0.333402081,0,46,13.16666667,20.19323319,407.7666667,0,0,0,0,1,0,0,0,0,15.8,0,15.6,0,0,0,0,0,0,0,0,5,78,-1,324,0,0,242856,0,242856,242856,1.48E+07,0,1.48E+07,1.48E+07,No Label
192.168.0.104-51.116.246.106-57740-443-6,192.168.0.104,57740,51.116.246.106,443,6,26/03/2025 12:05:56 AM,146082,0,2,0,0,0,0,0,0,0,0,0,0,0,13.6909407,146082,0,146082,146082,0,0,0,0,0,146082,146082,0,146082,146082,0,0,0,0,0,40,0,13.6909407,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,16385,0,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57833-6,192.168.0.104,57833,192.168.0.1,1900,6,26/03/2025 12:05:59 AM,8534,3,7,200,4437,200,0,66.66666667,115.4700538,1460,0,633.8571429,718.1509657,543355.9878,1171.783454,948.2222222,1381.105696,3499,0,5571,2785.5,3669.177088,5380,191,8534,1422.333333,1577.693211,3499,0,0,0,0,0,60,164,351.5350363,820.2484181,0,1460,421.5454545,631.8356374,399216.2727,0,1,0,0,0,0,0,0,2,463.7,66.66666667,633.8571429,0,0,0,0,0,0,3,200,7,4437,-1,1959,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.1-192.168.0.104-1900-57833-6,192.168.0.104,57833,192.168.0.1,1900,6,26/03/2025 12:05:59 AM,1722,1,1,0,0,0,0,0,0,0,0,0,0,0,1161.440186,1722,0,1722,1722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,580.7200929,580.7200929,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,251,0,0,0,0,0,0,0,0,0,0,No Label
